DATE,BOGMBASE_PCH
1991-01-01,-1.80780
1991-02-01,-0.87209
1991-03-01,1.36852
1991-04-01,0.96432
1991-05-01,0.06367
1991-06-01,1.20904
1991-07-01,0.59730
1991-08-01,0.03125
1991-09-01,0.53108
1991-10-01,0.40398
1991-11-01,1.64036
1991-12-01,2.13155
1992-01-01,-0.68575
1992-02-01,-0.57040
1992-03-01,1.32850
1992-04-01,-0.74493
1992-05-01,0.42029
1992-06-01,0.77728
1992-07-01,0.97894
1992-08-01,0.67568
1992-09-01,1.22556
1992-10-01,0.83598
1992-11-01,1.74385
1992-12-01,1.68587
1993-01-01,-0.35922
1993-02-01,-0.30505
1993-03-01,0.89013
1993-04-01,1.68183
1993-05-01,0.54230
1993-06-01,1.34844
1993-07-01,0.87813
1993-08-01,0.47481
1993-09-01,0.99764
1993-10-01,0.90980
1993-11-01,0.97888
1993-12-01,1.68367
1994-01-01,-0.20070
1994-02-01,0.02514
1994-03-01,0.72883
1994-04-01,1.52196
1994-05-01,0.04915
1994-06-01,1.10538
1994-07-01,0.82604
1994-08-01,0.07229
1994-09-01,0.38526
1994-10-01,0.43176
1994-11-01,1.05087
1994-12-01,1.27629
1995-01-01,-0.53676
1995-02-01,-0.77428
1995-03-01,1.13502
1995-04-01,1.35609
1995-05-01,0.11534
1995-06-01,0.18433
1995-07-01,0.25299
1995-08-01,-0.09176
1995-09-01,0.18370
1995-10-01,0.06876
1995-11-01,0.57261
1995-12-01,1.52585
1996-01-01,-0.91969
1996-02-01,-1.35839
1996-03-01,1.10168
1996-04-01,0.65834
1996-05-01,-0.09021
1996-06-01,0.76749
1996-07-01,0.76165
1996-08-01,0.24455
1996-09-01,0.24396
1996-10-01,0.11062
1996-11-01,0.99448
1996-12-01,1.75055
1997-01-01,-0.53763
1997-02-01,-0.56216
1997-03-01,0.52185
1997-04-01,0.69219
1997-05-01,0.32223
1997-06-01,0.59957
1997-07-01,0.70243
1997-08-01,0.25365
1997-09-01,0.23192
1997-10-01,0.48380
1997-11-01,1.44442
1997-12-01,1.75402
1998-01-01,-0.38532
1998-02-01,-0.57003
1998-03-01,0.53235
1998-04-01,0.63136
1998-05-01,0.22263
1998-06-01,0.58562
1998-07-01,0.86328
1998-08-01,0.49761
1998-09-01,0.73282
1998-10-01,0.78647
1998-11-01,1.11198
1998-12-01,1.56280
1999-01-01,0.28495
1999-02-01,-0.28414
1999-03-01,0.87386
1999-04-01,0.79096
1999-05-01,1.00897
1999-06-01,0.62893
1999-07-01,0.88235
1999-08-01,0.47376
1999-09-01,0.97933
1999-10-01,1.41882
1999-11-01,3.20524
1999-12-01,5.09609
2000-01-01,-1.73061
2000-02-01,-3.97076
2000-03-01,-0.15571
2000-04-01,0.25992
2000-05-01,0.34566
2000-06-01,0.24113
2000-07-01,0.37801
2000-08-01,-0.13694
2000-09-01,0.06856
2000-10-01,0.25694
2000-11-01,0.85426
2000-12-01,1.35524
2001-01-01,0.06686
2001-02-01,-0.46768
2001-03-01,0.53700
2001-04-01,0.43398
2001-05-01,0.69802
2001-06-01,0.52814
2001-07-01,1.13282
2001-08-01,1.03896
2001-09-01,3.98458
2001-10-01,-1.85414
2001-11-01,0.67695
2001-12-01,1.76701
2002-01-01,0.46097
2002-02-01,0.12236
2002-03-01,0.67217
2002-04-01,0.66768
2002-05-01,0.78384
2002-06-01,0.80766
2002-07-01,0.78635
2002-08-01,0.07361
2002-09-01,0.08826
2002-10-01,0.22046
2002-11-01,0.96788
2002-12-01,1.55410
